EventObject_id	Name	ObjectType	Reference	ReferenceType
1105170360978	1104750513046	gopher_id	AAFB02000305	accession
1105170360979	1104750515331	gopher_id	AAFB02000306	accession
1105170360980	1104750509176	gopher_id	AAFB02000307	accession
1105170360981	1104750506739	gopher_id	AAFB02000308	accession
1105170360982	1104750506631	gopher_id	AAFB02000309	accession
1105170360983	1104750512056	gopher_id	AAFB02000310	accession
1105170360984	1104750508808	gopher_id	AAFB02000311	accession
1105170360985	1104750505895	gopher_id	AAFB02000312	accession
1105170360986	1104750507124	gopher_id	AAFB02000313	accession
1105170360987	1104750507644	gopher_id	AAFB02000314	accession
1105170360988	1104750511934	gopher_id	AAFB02000315	accession
1105170360989	1104750514739	gopher_id	AAFB02000316	accession
1105170360990	1104750509004	gopher_id	AAFB02000317	accession
1105170360991	1104750515159	gopher_id	AAFB02000318	accession
1105170360992	1104750511458	gopher_id	AAFB02000319	accession
1105170360993	1104750508332	gopher_id	AAFB02000320	accession
1105170360994	1104750514863	gopher_id	AAFB02000321	accession
1105170360995	1104750506043	gopher_id	AAFB02000322	accession
1105170360996	1104750506895	gopher_id	AAFB02000323	accession
1105170360997	1104750508406	gopher_id	AAFB02000324	accession
1105170360998	1104750514341	gopher_id	AAFB02000325	accession
1105170360999	1104750507368	gopher_id	AAFB02000326	accession
1105170361000	1104750505489	gopher_id	AAFB02000327	accession
1105170361001	1104750508696	gopher_id	AAFB02000328	accession
1105170361002	1104750506497	gopher_id	AAFB02000329	accession
1105170361003	1104750508918	gopher_id	AAFB02000330	accession
1105170361004	1104750513726	gopher_id	AAFB02000331	accession
1105170361005	1104750512026	gopher_id	AAFB02000332	accession
1105170361006	1104750510504	gopher_id	AAFB02000333	accession
1105170361007	1104750504917	gopher_id	AAFB02000334	accession
1105170361008	1104750513678	gopher_id	AAFB02000335	accession
1105170361009	1104750512198	gopher_id	AAFB02000336	accession
1105170361010	1104750512942	gopher_id	AAFB02000337	accession
1105170361011	1104750512102	gopher_id	AAFB02000338	accession
1105170361012	1104750511480	gopher_id	AAFB02000339	accession
1105170361013	1104750505245	gopher_id	AAFB02000340	accession
1105170361014	1104750504987	gopher_id	AAFB02000341	accession
1105170361015	1104750511502	gopher_id	AAFB02000342	accession
1105170361016	1104750514317	gopher_id	AAFB02000343	accession
1105170361017	1104750514503	gopher_id	AAFB02000344	accession
1105170361018	1104750508610	gopher_id	AAFB02000345	accession
1105170361019	1104750504777	gopher_id	AAFB02000346	accession
1105170361020	1104750506891	gopher_id	AAFB02000347	accession
1105170361021	1104750508380	gopher_id	AAFB02000348	accession
1105170361022	1104750513932	gopher_id	AAFB02000349	accession
1105170361023	1104750510124	gopher_id	AAFB02000350	accession
1105170361024	1104750515865	gopher_id	AAFB02000351	accession
1105170361025	1104750510286	gopher_id	AAFB02000352	accession
1105170361026	1104750508350	gopher_id	AAFB02000353	accession
1105170361027	1104750507676	gopher_id	AAFB02000354	accession
1105170361028	1104750504993	gopher_id	AAFB02000355	accession
1105170361029	1104750511672	gopher_id	AAFB02000356	accession
1105170361030	1104750508212	gopher_id	AAFB02000357	accession
1105170361031	1104750513698	gopher_id	AAFB02000358	accession
1105170361032	1104750510546	gopher_id	AAFB02000359	accession
1105170361033	1104750505551	gopher_id	AAFB02000360	accession
1105170361034	1104750515425	gopher_id	AAFB02000361	accession
1105170361035	1104750514585	gopher_id	AAFB02000362	accession
1105170361036	1104750506637	gopher_id	AAFB02000363	accession
1105170361037	1104750508132	gopher_id	AAFB02000364	accession
1105170361038	1104750504707	gopher_id	AAFB02000365	accession
1105170361039	1104750512360	gopher_id	AAFB02000366	accession
1105170361040	1104750513280	gopher_id	AAFB02000367	accession
1105170361041	1104750508442	gopher_id	AAFB02000368	accession
1105170361042	1104750507938	gopher_id	AAFB02000369	accession
1105170361043	1104750507822	gopher_id	AAFB02000370	accession
1105170361044	1104750513616	gopher_id	AAFB02000371	accession
1105170361045	1104750515601	gopher_id	AAFB02000372	accession
1105170361046	1104750511984	gopher_id	AAFB02000373	accession
1105170361047	1104750504755	gopher_id	AAFB02000374	accession
1105170361048	1104750515267	gopher_id	AAFB02000375	accession
1105170361049	1104750511310	gopher_id	AAFB02000376	accession
1105170361050	1104750513960	gopher_id	AAFB02000377	accession
1105170361051	1104750508674	gopher_id	AAFB02000378	accession
1105170361052	1104750511890	gopher_id	AAFB02000379	accession
1105170361053	1104750507862	gopher_id	AAFB02000380	accession
1105170361054	1104750511570	gopher_id	AAFB02000381	accession
1105170361055	1104750508868	gopher_id	AAFB02000382	accession
1105170361056	1104750506581	gopher_id	AAFB02000383	accession
1105170361057	1104750508722	gopher_id	AAFB02000384	accession
1105170361058	1104750505653	gopher_id	AAFB02000385	accession
1105170361059	1104750505301	gopher_id	AAFB02000386	accession
1105170361060	1104750509190	gopher_id	AAFB02000387	accession
1105170361061	1104750513354	gopher_id	AAFB02000388	accession
1105170361062	1104750506397	gopher_id	AAFB02000389	accession
1105170361063	1104750513180	gopher_id	AAFB02000390	accession
1105170361064	1104750515945	gopher_id	AAFB02000391	accession
1105170361065	1104750515335	gopher_id	AAFB02000392	accession
1105170361066	1104750513892	gopher_id	AAFB02000393	accession
1105170361067	1104750514905	gopher_id	AAFB02000394	accession
1105170361068	1104750512778	gopher_id	AAFB02000395	accession
1105170361069	1104750510348	gopher_id	AAFB02000396	accession
1105170361070	1104750512004	gopher_id	AAFB02000397	accession
1105170361071	1104750510170	gopher_id	AAFB02000398	accession
1105170361072	1104750516177	gopher_id	AAFB02000399	accession
1105170361073	1104750511332	gopher_id	AAFB02000400	accession
1105170361074	1104750505275	gopher_id	AAFB02000401	accession
1105170361075	1104750505299	gopher_id	AAFB02000402	accession
1105170361076	1104750508488	gopher_id	AAFB02000403	accession
1105170361077	1104750513356	gopher_id	AAFB02000404	accession
1105170361078	1104750513822	gopher_id	AAFB02000405	accession
1105170361079	1104750516091	gopher_id	AAFB02000406	accession
1105170361080	1104750507770	gopher_id	AAFB02000407	accession
1105170361081	1104750507250	gopher_id	AAFB02000408	accession
1105170361082	1104750508574	gopher_id	AAFB02000409	accession
1105170361083	1104750505539	gopher_id	AAFB02000410	accession
1105170361084	1104750505995	gopher_id	AAFB02000411	accession
1105170361085	1104750512424	gopher_id	AAFB02000412	accession
1105170361086	1104750510180	gopher_id	AAFB02000413	accession
1105170361087	1104750508424	gopher_id	AAFB02000414	accession
1105170361088	1104750506499	gopher_id	AAFB02000415	accession
1105170361089	1104750504641	gopher_id	AAFB02000416	accession
1105170361090	1104750505591	gopher_id	AAFB02000417	accession
1105170361091	1104750506261	gopher_id	AAFB02000418	accession
1105170361092	1104750515241	gopher_id	AAFB02000419	accession
1105170361093	1104750505035	gopher_id	AAFB02000420	accession
1105170361094	1104750513610	gopher_id	AAFB02000421	accession
1105170361095	1104750506711	gopher_id	AAFB02000422	accession
1105170361096	1104750507206	gopher_id	AAFB02000423	accession
1105170361097	1104750512684	gopher_id	AAFB02000424	accession
1105170361098	1104750508750	gopher_id	AAFB02000425	accession
1105170361099	1104750506869	gopher_id	AAFB02000426	accession
1105170361100	1104750506749	gopher_id	AAFB02000427	accession
1105170361101	1104750512296	gopher_id	AAFB02000428	accession
1105170361102	1104750515545	gopher_id	AAFB02000429	accession
1105170361103	1104750506595	gopher_id	AAFB02000430	accession
1105170361104	1104750515541	gopher_id	AAFB02000431	accession
1105170361105	1104750506241	gopher_id	AAFB02000432	accession
1105170361106	1104750516075	gopher_id	AAFB02000433	accession
1105170361107	1104750510102	gopher_id	AAFB02000434	accession
1105170361108	1104750508886	gopher_id	AAFB02000435	accession
1105170361109	1104750510164	gopher_id	AAFB02000436	accession
1105170361110	1104750514569	gopher_id	AAFB02000437	accession
1105170361111	1104750507846	gopher_id	AAFB02000438	accession
1105170361112	1104750513978	gopher_id	AAFB02000439	accession
1105170361113	1104750510100	gopher_id	AAFB02000440	accession
1105170361114	1104750515243	gopher_id	AAFB02000441	accession
1105170361115	1104750515139	gopher_id	AAFB02000442	accession
1105170361116	1104750507174	gopher_id	AAFB02000443	accession
1105170361117	1104750506405	gopher_id	AAFB02000444	accession
1105170361118	1104750504731	gopher_id	AAFB02000445	accession
1105170361119	1104750514465	gopher_id	AAFB02000446	accession
1105170361120	1104750508458	gopher_id	AAFB02000447	accession
1105170361121	1104750514877	gopher_id	AAFB02000448	accession
1105170361122	1104750510414	gopher_id	AAFB02000449	accession
1105170361123	1104750514333	gopher_id	AAFB02000450	accession
1105170361124	1104750512954	gopher_id	AAFB02000451	accession
1105170361125	1104750512468	gopher_id	AAFB02000452	accession
1105170361126	1104750512154	gopher_id	AAFB02000453	accession
1105170361127	1104750507650	gopher_id	AAFB02000454	accession
1105170361128	1104750510128	gopher_id	AAFB02000455	accession
1105170361129	1104750511468	gopher_id	AAFB02000456	accession
1105170361130	1104750515567	gopher_id	AAFB02000457	accession
1105170361131	1104750507240	gopher_id	AAFB02000458	accession
1105170361132	1104750512002	gopher_id	AAFB02000459	accession
1105170361133	1104750506295	gopher_id	AAFB02000460	accession
1105170361134	1104750505037	gopher_id	AAFB02000461	accession
1105170361135	1104750504657	gopher_id	AAFB02000462	accession
1105170361136	1104750507798	gopher_id	AAFB02000463	accession
1105170361137	1104750512546	gopher_id	AAFB02000464	accession
1105170361138	1104750508986	gopher_id	AAFB02000465	accession
1105170361139	1104750505649	gopher_id	AAFB02000466	accession
1105170361140	1104750508240	gopher_id	AAFB02000467	accession
1105170361141	1104750506367	gopher_id	AAFB02000468	accession
